time,s,E1,i,E1---s,E2---i,p,E2
85456160,1224,29,550,1,0,225,50
85471510,1224,30,550,0,0,226,50
85712400,1222,29,550,1,0,227,50
85823250,1221,30,552,0,0,227,50
86426610,1219,29,552,1,0,228,50
86687624,1218,30,554,0,0,228,50
86822880,1216,29,554,1,0,229,50
86892860,1216,30,553,0,0,231,50
87147784,1214,30,554,0,1,231,49
87203670,1213,30,554,0,0,233,50
87313780,1211,29,554,1,0,234,50
87405650,1210,30,556,0,0,234,50
87548060,1207,29,558,1,0,234,50
87886260,1205,30,561,0,0,234,50
88049510,1204,30,560,0,1,235,49
88257550,1204,30,559,0,0,237,50
88541384,1203,29,557,1,0,239,50
88707640,1203,30,557,0,0,240,50
88999640,1201,29,557,1,0,241,50
89253610,1200,30,558,0,0,242,50
89821064,1198,29,559,1,0,242,50
89880310,1197,30,561,0,0,242,50
90153030,1194,29,563,1,0,242,50
90181240,1193,30,564,0,0,243,50
90405384,1190,29,566,1,0,243,50
90528960,1190,30,566,0,0,244,50
90704880,1187,29,568,1,0,244,50
90795660,1185,30,571,0,0,244,50
91247384,1184,29,569,1,0,246,50
91417816,1183,30,570,0,0,247,50
91655560,1181,29,570,1,0,248,50
91845870,1180,30,572,0,0,248,50
91997690,1180,30,569,0,1,250,49
92185050,1178,30,571,0,0,251,50
92608344,1176,29,571,1,0,252,50
92653930,1176,30,570,0,0,254,50
92705050,1174,29,570,1,0,255,50
92814040,1172,30,573,0,0,255,50
93014824,1169,29,575,1,0,255,50
93063680,1168,30,576,0,0,256,50
93333620,1166,29,577,1,0,256,50
93423750,1165,30,578,0,0,257,50
93705050,1163,29,578,1,0,258,50
93777750,1162,30,580,0,0,258,50
94020230,1161,30,579,0,1,259,49
94343120,1160,30,579,0,0,261,50
94666824,1157,29,581,1,0,261,50
95030960,1158,30,579,0,0,263,50
95210500,1155,29,581,1,0,263,50
95399450,1153,30,584,0,0,263,50
95493440,1151,29,585,1,0,263,50
95722984,1149,30,588,0,0,263,50
96348056,1149,30,585,0,1,265,49
96404320,1148,30,586,0,0,266,50
96596950,1146,30,587,0,1,266,49
96751944,1146,30,586,0,0,268,50
96896790,1146,30,584,0,1,269,49
96984430,1144,30,587,0,0,269,50
97117330,1142,29,587,1,0,270,50
97241120,1141,30,588,0,0,271,50
97470850,1140,30,587,0,1,272,49
97557080,1140,30,585,0,0,275,50
97661290,1139,29,584,1,0,276,50
97715224,1139,30,583,0,0,278,50
97732400,1138,29,581,1,0,280,50
97780600,1137,30,582,0,0,281,50
98078296,1134,29,584,1,0,281,50
98378680,1134,30,584,0,0,282,50
98505976,1133,30,583,0,1,283,49
98570980,1131,30,585,0,0,284,50
98931050,1128,29,587,1,0,284,50
99111480,1127,30,588,0,0,285,50
99158104,1125,30,589,0,1,285,49
99284300,1123,30,591,0,0,286,50
99711590,1121,30,592,0,1,286,49
100071900,1119,30,594,0,0,287,50
